Job Title,Company,Location,Salary,Posting Date,Summary
Quality Analyst – Business Intelligence,Skill-Lync,"Chennai, Tamil Nadu","Using and developing data collection processes.
Learning and fully understanding the data landscape in databases and applications.",,30+ days ago
People Advisor Senior Analyst,Accenture,"Chennai, Tamil Nadu","Acts as a liaison between HR Leadership Team, Field HR team, Talent Strategy team and multiple other stakeholders in HR & business to enable HR program delivery…",,30+ days ago
Lead / Senior Data Analyst,Vestas,"Chennai, Tamil Nadu","This ranges across real-time data collection from thousands of power plants with Health Monitoring systems, and data analytics on a Health Monitoring &…",,30+ days ago
Senior Data Analyst,Barclays,"Chennai, Tamil Nadu","Strong data analysis skills and ability to present the findings to the business users.
Ensure that all activities and duties are carried out in full compliance…",,12 days ago
newFinancial Reporting Analyst,Wells Fargo,"Sholinganallur, Chennai, Tamil Nadu","They also perform operational processes such as data compilation, reconciliation, and schedule preparation.
Report Owner experience would be helpful, with the…",,Today
"newBusiness Analyst, Liquidity",Standard Chartered,"Chennai, Tamil Nadu",Experience in analysing data to draw business-relevant conclusions and in data visualization techniques and tools.,,2 days ago
Production Admin & Business Analyst,BNP Paribas,"Chennai, Tamil Nadu","Ability to understand management reporting needs and produce data accordingly.
Ability to work with large data sets in MS Excel/Access and corresponding tools…",,30+ days ago
Business Analyst CitiRisk Chennai C10 (R21034883),Citi,"Chennai, Tamil Nadu","Demonstrated data analysis and intermediate/advanced Microsoft Office Suite skills.
Experience in re-engineering, data analysis and project management support.",,30+ days ago
"Senior Analyst, FSCU",Standard Chartered,"Chennai, Tamil Nadu","Analysis skills: able to analyze data trends and out of pattern activities, working knowledge of Internet and MS Office Suite & independently assimilate,…",,30+ days ago
newLearning Delivery - Process Specialist (Senior Analyst),Deloitte,"Chennai, Tamil Nadu","Ability to analyze data, identify key findings and create executive summaries.
Proven track record of synthesizing data and presenting results and…",,6 days ago
Officer – Data/Information Mgt Analyst 2,Citi,"Chennai, Tamil Nadu","Data Manipulation: Manipulate and Aggregate data extracted from various data sources.
Interprets data and makes recommendations.",,27 days ago
Analyst - Site Support,Icon plc,"Chennai, Tamil Nadu","Actively participate in data analysis projects and initiatives as assigned, being able to make sound decisions based on available information in order to…",,14 days ago
Business Analyst,Calibraint,"Chennai, Tamil Nadu","Extensive experience with data visualization.
Excellent communicator with the ability to translate data into actionable insights.",,9 days ago
IT Business Unit Analyst,Citi,"Chennai, Tamil Nadu","Applies professional judgment when interpreting data and results.
Applies analytical thinking and knowledge of data analysis tools and methodologies.",,30+ days ago
Business Analyst,Exela Technologies,"Chennai, Tamil Nadu",Responsible for the development of financial management data reflecting financial condition and operating results.,,30+ days ago
Senior Analyst-Procure to Pay Processing,Accenture,"Chennai, Tamil Nadu","Use data analytics and story-telling techniques to enhance the client journey.
You will be aligned with our Finance Operations vertical and will be helping us…",,15 days ago
Research Analyst,ADCI - Tamil Nadu,"Chennai, Tamil Nadu","Advanced skill of identifying sources and fetching right data.
Ability to present information professionally & concisely with supporting data.",,10 days ago
Staff BI Developer,Genesys,"Temporarily Remote in Chennai, Tamil Nadu","The key responsibilities will be to support Multicloud data and reporting needs leveraging various BI tools and techniques.
Experience with Java (nice to have).",,14 days ago
newBusiness Analyst,TransUnion,"Chennai, Tamil Nadu","Requires 3+ years experience analyzing data and developing solutions using business analysis tools.
Experience with API based products, integrations, big data…",,6 days ago
Business Analyst - ServiceNow,AstraZeneca,"Chennai, Tamil Nadu","The Business analyst will identify, define and document business processes and software requirements to be developed on the ServiceNow platform as part of UX,…",,30+ days ago
Business Analyst,ANB Systems,"Chennai, Tamil Nadu","Experience in analysing data to draw business-relevant conclusions and in data visualization techniques and tools.
A degree in IT / Computer Science.",,30+ days ago
"Senior Manager, Data Analytics",Standard Chartered,"Chennai, Tamil Nadu","Responsible for analysis and documentation of user requirements/scope of Projects.
Understand synergies across multiple initiatives and implement proposed…",,30+ days ago
"Business Analyst, Discoverability",ADCI MAA 15 SEZ,"Chennai, Tamil Nadu","Diving deep into large data sets to answer specific business questions using Excel, SQL and other data manipulation languages.
Using Python for data analysis.",,10 days ago
Business Analyst - Data Governance and Quality,Citi,"Chennai, Tamil Nadu","Metrics Design: Identification of critical data elements in different systems, data quality rules design, Testing and validation of rules.",,30+ days ago
Business Analyst - Forecasting Analytics,Freshworks,"Chennai, Tamil Nadu","Utilize strong database skills to work with large, complex data sets using advanced analytics and metrics, to improve processes and provide data-driven insights…",,28 days ago
Sr Data Analyst,Ingram Micro,"Chennai, Tamil Nadu","Identify data from different source systems and build the target data models.
Interpret use case requirement and design of target data model/ data mart.",,30+ days ago
Trade & Transaction Reporting Analyst,NatWest Markets,"Chennai, Tamil Nadu","A problem solving attitude with a keen eye for detail and a data driven approach.
From home working to job sharing, visit the remote and flexible working page…",,30+ days ago
Professional-Business Analyst-Reporting Research,Sutherland,"Chennai, Tamil Nadu","Edit and proofread reports according to client specifications—adhering to all relevant style points.
Rephrase sentences and improve content structure.",,30+ days ago
"Business Analyst, Global Production Solutions",ADCI - Tamil Nadu,"Chennai, Tamil Nadu","Retrieve and analyze data using SQL, Excel, Access and other data management systems;
Understand requirements from stakeholders and map them with data sources /…",,30+ days ago
People Services Analyst,AstraZeneca,"Chennai, Tamil Nadu","Proven ability to work with confidential data and instil data security and control values in the team.
Experienced in preparing EIBs and loading data into…",,30+ days ago
Business Analyst,Siam Computing,"Chennai, Tamil Nadu","Analyse, Interpret, evaluate and interrelate research data and develop integrated business analyses for incorporation into strategic decision-making from time…",,30+ days ago
IVR Business Analyst,Citi,"Chennai, Tamil Nadu","Demonstrated data analysis and intermediate/advanced Microsoft Office Suite skills.
Experience in re-engineering, data analysis and project management support.",,27 days ago
Senior Analyst - Hybrid BA,AstraZeneca,"Chennai, Tamil Nadu","Collate information from relevant sources for analysis and reporting relevant data trends for informed decision making.
Setting a budget and schedule.",,30+ days ago
"Business Analyst I, OPTIMA Operations",ADCI MAA 12 SEZ,"Chennai, Tamil Nadu","The business analyst will leverage data to drive operational efficiencies, provide key data-driven insights, build dashboards which solves business problems,…",,26 days ago
Business Intelligence Analyst (Fixed-Term),Eppendorf,"Chennai, Tamil Nadu","Support project management tasks—liaising with functional heads in collecting data, cross-check data, compiling information in summaries for the project manager…",,30+ days ago
Business Operations Analyst II,Mr. Cooper,"Chennai, Tamil Nadu",Develop ad hoc reports to help the business understand current operational performance • Pull data and perform first-level operational analysis to determine…,,30+ days ago
Business Analyst I (RBSNT),ADCI - Tamil Nadu,"Chennai, Tamil Nadu","Analyze data and is responsible for highlighting gaps, recommending solutions, driving/influencing inter-function decisions.",,30+ days ago
newSr. Systems Analyst - Development,Standard Chartered,"Chennai, Tamil Nadu",The successful candidate will adopt best practices and a structured approach towards project management and facilitate country deployment of DQMF policy and…,,2 days ago
Marketing Analyst,Mtandt Group,"Chennai, Tamil Nadu","2+ years of relevant experience in data analysis, statistics, and data modelling.
Experience using statistical computer languages like R, Python, SQL, etc. to…",,30+ days ago
"Business Research Analyst – I, RBS Discoverability Program",ADCI MAA 15 SEZ,"Chennai, Tamil Nadu","Performs root cause analysis by understand the data need, get data / pull the data and analyze it to form the hypothesis and validate it using data.",,30+ days ago
newFP&A Analyst - Senior Manager,Philips,"Hybrid remote in Chennai, Tamil Nadu","In addition, FP&A is in the midst of digital transformation through automation, driving innovation in improving forecasting and prediction capabilities,…",,Today
Business Research Analyst – I,ADCI - BLR 14 SEZ,"Chennai, Tamil Nadu","Performs root cause analysis by understand the data need, get data / pull the data and analyze it to form the hypothesis and validate it using data.",,30+ days ago
Business Analyst,Guidehouse,"Chennai, Tamil Nadu","Aggregate and synthesize data from authoritative systems into metrics and analytics.
As a ServiceNow Business Analyst, you’ll work directly with the ServiceNow…",,30+ days ago
Senior Analyst-Record To Report,Accenture,"Chennai, Tamil Nadu","Use data analytics and story-telling techniques to enhance the client journey.
You will be aligned with our Finance Operations vertical and will be helping us…",,30+ days ago
"Apps Dev Programmer Analyst 2, Chennai, C10 (R22023713)",Citi,"Chennai, Tamil Nadu","Coordinate with business analysts & users for requirements.
Our technology operates in real-time environments, capturing and managing market, transaction, and…",,13 days ago
Business Research Analyst – I,ADCI - Tamil Nadu,"Chennai, Tamil Nadu","Performs root cause analysis by understand the data need, get data / pull the data and analyze it to form the hypothesis and validate it using data.",,30+ days ago
Reporting Analyst II - SharePoint Specialist,Mr. Cooper,"Chennai, Tamil Nadu","Experience as a SharePoint Developer in the analysis, design, hands-on development and delivery of web-based applications according to company specifications…",,30+ days ago
Quality Analyst – Process Excellence,Skill-Lync,"Chennai, Tamil Nadu","To collect data about current procedures, outputs, and metrics to develop a baseline of how the company works based on the understanding of the current system.",,30+ days ago
Supply Chain Planning Business Analyst (Advanced Planning Sy...,AstraZeneca,"Chennai, Tamil Nadu",Collate information from relevant sources for analysis and reporting relevant data trends for informed decision making for positive business impact.,,15 days ago
"Business Analyst, SnDBox",ADCI - Tamil Nadu,"Chennai, Tamil Nadu","3+ years' experience in a business analyst, data analyst or statistical analyst role.
Experience of data warehousing, data modeling concepts, and building new…",,30+ days ago
Analyst (Risk and Analytics),Sammati Consulting and Analytics,"Chennai, Tamil Nadu",Candidates with understanding and exposure to quantitative methods and keenness to explore learn with around 1-2 years relevant experience in the areas of…,,30+ days ago
BI Analyst,InteleANTS,"Chennai, Tamil Nadu","Use data visualization techniques effectively to present information.
Create business reports that provide insight into key data points.",,30+ days ago
Business Analyst,Luxoft,"Chennai, Tamil Nadu","Participation in global projects linked to data integration, quality and monitoring in the fund depositary area.",,15 days ago
Senior IT Project Analyst - Automation,McKinsey & Company,"Chennai, Tamil Nadu",Advanced general knowledge of IT and technology & digital core services; knowledge of data engineering and data analysis concepts is a plus.,,30+ days ago
newOperational Risk Analyst I,Citi,"Chennai, Tamil Nadu",Completion of activities related to Third Party lifecycle; and ensuring data accuracy for the reporting of third-party related metrics.,,2 days ago
Senior Business Analyst,Standard Chartered,"Chennai, Tamil Nadu","This role highly require candidate with strong data management, data analytics and data visualisation expertise.",,30+ days ago
"Senior Analyst, RFI",Standard Chartered,"Chennai, Tamil Nadu","Analysis skills: Ability to analyze data trends and irregular transactions, independently assimilate, analyse and evaluate information from various data sources…",,30+ days ago
Business Analyst,IDP Education Ltd,"Chennai, Tamil Nadu","Modeling business processes using diagrams, flowcharts, data models, agile work packages and turning ‘Epics’ into practical sprints that enable successful…",,30+ days ago
Senior Analyst - Technical BA,AstraZeneca,"Chennai, Tamil Nadu","Diverse minds that work cross- functionally and broadly together.
AstraZeneca is looking for Veeva Vault Technical BA with Pharma Domain experience to support…",,8 days ago
newBusiness Systems Analyst 3,PayPal,"Chennai, Tamil Nadu",Download reference data from Salesforce and use to convert raw contract data into contract record & file mappings and bulk load into Salesforce.,,4 days ago
newRec & Proofing Intmd Analyst 605811,Citi,"Chennai, Tamil Nadu","Applies professional judgment when interpreting data and results.
Applies analytical thinking and knowledge of data analysis tools and methodologies.",,5 days ago
Senior Analyst,Roche,"Chennai, Tamil Nadu","Knowledge of statistical data analysis tools such as R & Python, SQl, Excel ,VBA is a must and SAS is nice to have.",,30+ days ago
IT Business Sr Analyst,Citi,"Chennai, Tamil Nadu",Proven ability to identify and resolve data inconsistencies and be able to present information and analysis clearly and concisely.,,15 days ago
Data Visualization,Kanini Software Solutions,"Chennai, Tamil Nadu","Experience on creating data models for reporting.
Strong analysis skills and experience on data validation.
Experience in gathering requirements for reporting /…",,30+ days ago
Business Analyst,Dattendriya Data Science Solutions,"Chennai, Tamil Nadu","Experience working as a BA + managing people.
Experience in Requirement Gathering, User Stories, BRD, FRD & SRS.
Familiarity about working datasets would help.",,30+ days ago
Senior Analyst-Investment Banking,Accenture,"Chennai, Tamil Nadu","Use data analytics and story-telling techniques to enhance the client journey.
The team is responsible for dealing with debt security issues in the US market,…",,9 days ago
Operational Risk Intmd Analyst,Citi,"Chennai, Tamil Nadu","Ability to analyze large amounts of data, decipher items meaningful to the development unit covered, and determine corresponding risk.",,16 days ago
Senior Business Analyst - Visualization,Freshworks,"Chennai, Tamil Nadu","Connecting data sources, importing data, and transforming data for business intelligence.
This role requires you to possess knowledge over data modeling, data…",,12 days ago
Test Data Analyst,Novature Tech,"Chennai, Tamil Nadu",Technology - main goal is to extract data from existing prod sets to mask/subset and transform into data loaders format ( CSV ).,,30+ days ago
Business Analyst,Aspire Systems,"Chennai, Tamil Nadu","Strong in analyzing problems, data, systems and identifying gaps/pain points.
The Business Analyst will work with business owners/project stakeholders to gather…",,30+ days ago
Senior Analyst-Finance Processes,Accenture,"Chennai, Tamil Nadu","Use data analytics and story-telling techniques to enhance the client journey.
You will be aligned with our Finance Operations vertical and will be helping us…",,30+ days ago
"Business Analyst - I, VSP",ADCI MAA 15 SEZ,"Chennai, Tamil Nadu","Ensure data accuracy by validating data for new and existing tools.
The Business Analyst will be responsible turn data and anecdotes into actionable insights…",,30+ days ago
newBusiness Intelligence Analyst/Developer,adyog,"Chennai, Tamil Nadu","Collaborate with business, IT, vendors, off shore development team and other stakeholders.
Facilitate the communication between business stakeholders and the…",,2 days ago
Lead Business Analyst,Standard Chartered,"Chennai, Tamil Nadu","Exposure to data migration and databases would be preferred.
In line with our Fair Pay Charter, we offer a competitive salary and benefits to support your…",,30+ days ago
Business Analyst I,ADCI MAA 15 SEZ,"Chennai, Tamil Nadu","3+ years of relevant work experience in a role requiring application of analytic skills to integrate in a business analyst, data analyst or statistical analysis…",,30+ days ago
Senior Business Analyst,Roche,"Chennai, Tamil Nadu","Interact with stakeholders and other teams to obtain data requirements for new and existing applications.
Manage contents for the stakeholders which may include…",,28 days ago
Testing Intermediate Analyst - C11,Citi,"Chennai, Tamil Nadu","Applies professional judgment when interpreting data and results.
Applies analytical thinking and knowledge of data analysis tools and methodologies.",,12 days ago
Senior Manager - Data Analytics,Walmart Global Tech India,"Chennai, Tamil Nadu","Find workable solution in case of data inconsistency and inconclusive data.
Mentor and manage junior analysts.
Troubleshooting and fixing data issue.",,30+ days ago
IND CSIPL Chennai - Payments Operations Readiness Analyst,Citi,"Chennai, Tamil Nadu","Manage Static data solutions to focus on improve the processing STP rates.
As part of the Cash Operations Readiness Team, the role is to support the Payments…",,30+ days ago
: Risk & Control Supporting Analyst - Officer,Citi,"Chennai, Tamil Nadu",NAM AML KYC operations team Vendor Governance Oversight team overseeing Operational and Risk & Control effectiveness of vendor processing and third-party…,,30+ days ago
newPower BI Sr. Consultant,NTT DATA,"Chennai, Tamil Nadu","Connecting data sources, importing data, and transforming data for Business intelligence.
Analytical thinking for translating data into informative reports and…",,Today
"Business Research Analyst – II, RBS",ADCI - Tamil Nadu,"Chennai, Tamil Nadu","As an all rounder with a love for data and numbers, you may have had previous customer advocate, data analyst, product / business analyst or business…",,30+ days ago
Social Media Analyst,E-Merge tech,"Chennai, Tamil Nadu","Responsible for analyzing, interpreting and creating the reports using the data gathered from the social conversations/data.",,30+ days ago
Manager Business Analyst,Standard Chartered,"Chennai, Tamil Nadu","Performing and documenting data analysis, data validation, and data mapping/design.
Awareness and understanding of the GRC Domain, Operational Risk Management &…",,30+ days ago
Sr. Information Security Analyst,BNY Mellon,"Chennai, Tamil Nadu","Reviews and analyzes data and information for business systems security.
Supports the effectiveness of security-related operations.",,23 days ago
"Business Analyst II, RBS",ADCI MAA 15 SEZ,"Chennai, Tamil Nadu","5+ years of relevant experience in a business analyst, data analyst or statistical analyst role.
Act as the custodian of data for the customer returns…",,30+ days ago
newConsultant - BI Engineer,AstraZeneca,"Chennai, Tamil Nadu",Understand the fundamentals of a dimensional data warehouse model and how to optimize the way data is organized for consumption in BI tool.,,7 days ago
Senior Analyst-AML,Société Générale,"Chennai, Tamil Nadu",Surveillance - Detect and confirm patterns of behavior by analyzing structured and unstructured data including large data volumes.,,30+ days ago
Business Intelligence Analyst (Reporting) 0322-CH-58,RELX,"Chennai, Tamil Nadu","Perform advanced data hygiene checks and implement precautionary measures to ensure data quality.
Perform advanced data transformation, blending, data…",,30+ days ago
Business Analyst,Incedo,"Chennai, Tamil Nadu","Carry out data analysis to understand data and convert them into Reports and identify the issues.
They might also perform data analysis for consulting…",,30+ days ago
Business Analyst,OptiSol,"Remote in Chennai, Tamil Nadu","Must research and analyze data, ability to make critical decision and decisive plan of.
You will work alongside other business analysts, Stakeholders, Business…",,30+ days ago
Business Research Analyst – I,ADCI MAA 12 SEZ,"Chennai, Tamil Nadu","As an all rounder with a love for data and numbers, you may have had previous customer advocate, data analyst, product / business analyst or business…",,30+ days ago
Business Analyst,Congruent Global,"Guindy, Chennai, Tamil Nadu","Supporting the business with data cleansing and data quality improvements.
Location: Flexible (but must be willing to travel).",,30+ days ago
"newLead Data Scientist, Product Analytics",PayPal,"Chennai, Tamil Nadu","Experience influencing product strategy through analyses and data-centric presentations.
Translate ambiguous, unstructured business problems into actionable…",,7 days ago
Data Governance Senior Analyst,Citi,"Chennai, Tamil Nadu","Understanding of data flows, data architecture, ETL, and processing of structured and unstructured data.
Understanding of data security and data access controls…",,30+ days ago
Junior Business Analyst,Macro Zenith Technosolution Private Limited,"Chennai, Tamil Nadu","Delivering elements of systems design, including data migration rules, business rules, wireframes, or other detailed deliverables.",,30+ days ago
IT Business Analyst,Citi,"Chennai, Tamil Nadu","Exposure of latest digital banking experiences in Industry and strong hold / eagerness to learn system architecture, data flows and message orchestrations.",,12 days ago
Senior Data Analyst | (Bengaluru - Chennai - Mumbai) 2 Years,Ganit,"Chennai, Tamil Nadu","Conduct complex data analysis to ensure data quality & reliability i.e., make the data talk by extracting, preparing, and transforming it.",,30+ days ago
Workday Business Change measurement & Readiness Analyst,WPP IT,"Hybrid remote in Chennai, Tamil Nadu","WPP IT is undergoing a significant transformation to modernise ways of working, shift to cloud and micro-service-based architectures, drive automation, digitise…",,30+ days ago
IS Senior Business Analyst - Warehouse Management,Ingram Micro,"Chennai, Tamil Nadu","Advanced skills and experience in analyzing the data, drawing business process diagrams, flow-charts, entity relationship diagrams and dataflow diagrams.",,30+ days ago
"Business Analyst, DCCS Catalog Operations",ADCI - Tamil Nadu,"Chennai, Tamil Nadu",· 1+ years’ experience in program or project management · Experience interpreting data to make business recommendations · 2+ years' of professional experience…,,30+ days ago
Research Analyst,ADCI MAA 15 SEZ,"Chennai, Tamil Nadu",1+ years of experience in financial/business analysis Experience with SQL or ETL Experience defining requirements and using data and metrics to draw business…,,30+ days ago
Systematic Literature Review Analyst,E-Merge tech,"Chennai, Tamil Nadu","We have an opportunities for executives with at least 2 years’ experience in health economics or market access , within the pharmaceutical industry who are…",,30+ days ago
Business Analyst,Flex,"Chennai, Tamil Nadu","At Flex, we welcome people of all backgrounds. Our employees thrive here by living our values: we support each other as we strive to find a better way, we…",,29 days ago
Product Analyst,Rambøll,"Chennai, Tamil Nadu",We invite you to bring your digital skills and specialization within Tekla into play as you define and develop next generation of automated processes and…,,15 days ago
newSenior Analyst - Quality Assurance,Freshworks,"Chennai, Tamil Nadu","Company Description At Freshworks, we are creating a global workplace that enables everyone to find their true potential, purpose, and passion irrespective…",,4 days ago
"newSenior Analyst, Identity Analytics",PayPal,"Chennai, Tamil Nadu","At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial…",,Today
Business Analyst - AML,Société Générale,"Chennai, Tamil Nadu","Responsibilities On AML subject, capability to works with customers and cross location teams to establish and maintain a consistent delivery. Experience on…",,30+ days ago
Senior Project Analyst,Citi,"Chennai, Tamil Nadu",This is a role that deals with most problems independently and has some latitude to solve complex problems. Deals with most problems independently and has…,,27 days ago
IT Quality Intmd Analyst,Citi,"Chennai, Tamil Nadu",The IT Quality Intmd Analyst is a developing professional role. Deals with most problems independently and has some latitude to solve complex problems.…,,8 days ago
"Apps Support Intmd Analyst, Chennai, C11,",Citi,"Chennai, Tamil Nadu",The Project Intermediate Analyst is a developing professional role. Deals with most problems independently and has some latitude to solve complex problems.…,,30+ days ago
Sr. Data Analyst-IND,Ingram Micro,"Chennai, Tamil Nadu","Description The Sr Data Analyst writes programs, as well as maintains and modifies existing applications programs. He/she must also document and execute test…",,30+ days ago
newIT Business Lead Analyst - Working Capital Finance,Citi,"Chennai, Tamil Nadu",The IT Business Lead Analyst is a senior-level position responsible for liaising between business users and technologists to exchange information in a concise…,,6 days ago
newBusiness Intelligence Analyst - Professional Services,Astreya,"Chennai, Tamil Nadu",Company Description Astreya is the leading IT solutions provider to deliver technology-enabled services and fuel digital transformation to some of the most…,,3 days ago
Maconomy Product Analyst,WPP IT,"Chennai, Tamil Nadu","WPP IT provides IT services for WPP, the world's largest communications services group. As a creative transformation company, WPP is helping its clients…",,30+ days ago
Sr. Digital Data Analyst,Ingram Micro,"Chennai, Tamil Nadu","Position Summary: Considered part of the IT function and generally focused on the system and not the content of company material, uses experience with a variety…",,30+ days ago
newIT Business Senior Analyst - Working Capital Finance,Citi,"Chennai, Tamil Nadu","Proficiency in MS Office (Word, Excel, Visio, PowerPoint) with extensive experience using Excel for data analysis.
View the ""EEO is the Law"" poster.",,5 days ago
newSenior Governance Analyst,Standard Chartered,"Chennai, Tamil Nadu","Running data queries to identify issues and data exceptions.
Gathering data from primary or secondary data sources to identify and interpret trends.",,6 days ago
Field & Channel Services Delivery Business Analyst,HP,"Chennai, Tamil Nadu","Develop custom data models and algorithms to apply on large data sets.
Identify new data sources and think out of the box to find innovative ways to collect and…",,21 days ago
Sr. Security Training and Awareness Analyst,Oportun Inc,"Remote in Chennai, Tamil Nadu","Drive forward best practices within the organization around secure coding, sensitive data, industry regulations, standards, compliance requirements.",,30+ days ago
newSenior Analyst-Finance,AstraZeneca,"Chennai, Tamil Nadu","We enable AstraZeneca to perform at its peak by delivering premier technology and data solutions.
Familiarity or exposure to SAP - most of the analytics will be…",,6 days ago
IT Analyst (PostgreSQL Database Administrator),Ford Global Business Services,"Chennai, Tamil Nadu",A DBA with 3+ years of experience in administering/managing Postgresql databases across various platforms preferably Open Shift environment.,,30+ days ago
"Business Analyst, Manager",Standard Chartered,"Chennai, Tamil Nadu","Exposure to data migration and databases would be preferred.
Primary Location: Asia-India-Chennai.
Posting Date: 24/Mar/2022, 11:29:32 AM.",,30+ days ago
SEO Analyst,BCC Marcom,"Poonamallee, Chennai, Tamil Nadu","Performing data analysis through Web Analytics tool and identifying areas for improvement.
Search Engine Optimization ""SEO "" is a much used term however without…",,30+ days ago
Rates Risk Business Analyst - AVP,Citi,"Chennai, Tamil Nadu","Rates Technology is looking to hire an experienced Business Analyst based in London.
This is a global team with a client base spanning 70+ countries.",,30+ days ago
Sales Operation Analyst,Aptiv,"Chennai, Tamil Nadu","Ad hoc reporting, data sanity / data integrity checks.
Meet all business data analytics requirements from Global Sales functions.",,30+ days ago
Business Analyst,Isolve Technologies,"Chennai, Tamil Nadu","Process analysis, critical thinking, decision making, problem-solving, and data analysis skills.
ISolve Technologies is a Business Transformation company.",,30+ days ago
Senior Analyst-Order to Cash Processing,Accenture,"Chennai, Tamil Nadu","Use data analytics and story-telling techniques to enhance the client journey.
You will be aligned with our Finance Operations vertical and will be helping us…",,15 days ago
C12 – Lead Business Analyst,Citi,"Chennai, Tamil Nadu","Good exposure on IBM BPM/BAW Database –Oracle including understanding in data model, Pl/SQL.
Analyze business processes, gaps in capabilities, as well as…",,30+ days ago
Senior Consultant - Data Analytics,AstraZeneca,"Chennai, Tamil Nadu","Work with data integration team to define and load data sources from multiple data warehouse systems.
Ingesting data from a variety of Infrastructure data…",,30+ days ago
Technical Business Analyst,Nucleus Software,"Chennai, Tamil Nadu","Nucleus Software's Lending Mobility Solutions enable the user to perform paperless data sourcing, revert back with application statuses, submit field…",,30+ days ago
Infrastructure Senior Tech Analyst,Citi,"Chennai, Tamil Nadu","Advanced understanding of data models, data relationships and correlations.
Strong knowledge and experience in data profiling and troubleshooting data related…",,30+ days ago
"Business Analyst , RBS Flexorg",ADCI MAA 15 SEZ,"Chennai, Tamil Nadu","3+ years of relevant work experience in a role requiring application of analytic skills to integrate in a business analyst, data analyst or statistical analysis…",,30+ days ago
Data Engineer - Analytics - Migration,Tekion,"Chennai, Tamil Nadu","Collaborate with data analysts/ product managers in understanding the data.
Be part of developing scalable, reliable and highly available production level data…",,30+ days ago
Senior Business Analyst - SDR Operations,Freshworks,"Chennai, Tamil Nadu","Work experience with real data for customer business and market analysis is ideal.
Familiarity with database technologies and tools (SQL/R/SAS/JMP etc.), data…",,14 days ago
Data/Information Mgt Analyst 2 - C10,Citi,"Chennai, Tamil Nadu","Interprets data and makes recommendations.
This function covers incumbents responsible for various data activities, which include database administration, data…",,30+ days ago
Business Intelligence – Lead,kaleidofin,"Chennai, Tamil Nadu","Strong data visualization design skills, data modeling and inference skills.
Become an expert on data and trends, both internal and external to Kaleidofin.",,30+ days ago
Business Analyst,Contus,"Chennai, Tamil Nadu","In addition, they develop and monitor data quality metrics and ensure business data and reporting needs are met.
Strong with SDLC ,SCRUM, Agile Methodologies.",,30+ days ago
Senior Associate Research Analyst -CBIG Chennai (R-09598 ),Dun & Bradstreet,"Chennai, Tamil Nadu","SLA and ensuring full accuracy of data and quality.
Ensuring required Extracts as per business requirements from various data sources.",,30+ days ago
Business Analyst,Barclays,"Chennai, Tamil Nadu"," Technical knowledge will be a benefit to assist with data analysis.
 Provide a data–driven high level view of proposed solutions ensuring alignment with the…",,30+ days ago
COB & CM Senior Analyst,Citi,"Chennai, Tamil Nadu","Advanced project management, data analysis and reporting ability; with a good understanding of supporting technologies (applications, reporting tools, and data…",,9 days ago
Market Research Analyst,E-Merge tech,"Remote in Chennai, Tamil Nadu","Interpret data, formulate reports and make recommendations and insights.
To undertake business to business research, analyze industry trends and data, and…",,30+ days ago
Business Analyst - Projects,Exela Technologies,"Chennai, Tamil Nadu","Minimum of 3+ years of experience in a business analytics role including: process definition, management and monitoring, release management, web experience,…",,30+ days ago
Senior Risk Reporting Analyst,Mr. Cooper,"Chennai, Tamil Nadu","Strong data manipulations in Excel, Power Point, SQL (V-LookUps, Pivots, IF statements, Aggregate functions, graphs, charts) preferred.",,30+ days ago
Senior Analyst-Pharmacovigilance,Accenture,"Chennai, Tamil Nadu","Use data analytics and story-telling techniques to enhance the client journey.
Years of Experience: 5-8 years.
Ability to perform under pressure.",,30+ days ago
Marketing Analyst (Non IT Jobs),HR Inc Consultants,"Chennai, Tamil Nadu","2+ years of experience in data analytics.
Should be familiar with SQL queries, Tableau, and Google data studio.
Should have a knack for problem-solving.",,30+ days ago
Data Analytics and Business Intelligence Developer,Citi,"Chennai, Tamil Nadu","Communicate data anomalies to Technology for resolution in a timely manner.
Troubleshoot and analyze data issues within reports, portals and dashboards.",,30+ days ago
"Professional, Business Intelligence-IND",Ingram Micro,"Chennai, Tamil Nadu","Develops and executes procedures for extracting data from various data platforms.
Conducts research and explorative analyses to uncover potentially useful data…",,30+ days ago
Senior Tech Analyst,Roche,"Chennai, Tamil Nadu","Develop process improvements for data management and data quality activities.
Directly perform and/or oversee the analysis of data acquired into data warehouse…",,30+ days ago
Industry Research Analyst,E-Merge tech,"Chennai, Tamil Nadu","Collecting data via extensive desk-based research.
Researching market developments to identify trends and draw conclusions on future outlook.",,30+ days ago
Business Intelligence Lead (R22029680),Citi,"Chennai, Tamil Nadu","Provide evaluative judgment based on analysis of factual data in complicated and unique situations.
The Applications Development Senior Manager is a senior…",,12 days ago
Senior Analyst - Business Analyst (Reporting),AstraZeneca,"Chennai, Tamil Nadu","Experience in using one or more data visualisation tools (preferably Microstrategy).
Diverse minds that work cross- functionally and broadly together.",,30+ days ago
Senior Reporting Analyst,Mr. Cooper,"Chennai, Tamil Nadu",Experience in working as Reporting Analyst Data Analyst Knowledge and skills Create and run data transfer scripts in SQL Knowledge in Power BI reporting / RPA…,,30+ days ago
